slug,subdomain,custom_domain,name,site,logo,place_id,primary_color,secondary_color
airbender,,,Airbender,,https://lh4.googleusercontent.com/-RzfSGGFIW4o/AAAAAAAAAAI/AAAAAAAAAAA/mW1GCedKH5g/s44-p-k-no-ns-nd/photo.jpg,ChIJrzbKC-0piYgRN7ZfYEOS8HU,#dfdede,#252424
airloc,,,Airloc,http://www.airloc.net/,https://lh5.googleusercontent.com/-Zw7J9Q2Va7Y/AAAAAAAAAAI/AAAAAAAAAAA/OtbwhY0k5nQ/s44-p-k-no-ns-nd/photo.jpg,ChIJRbsKNEMZiYgRAekCQkTY8pk,#e3f3f7,#768ea9
alabama-comfort-controls,,,Alabama Comfort Controls,https://www.alabamacomfortcontrols.com/,https://lh4.googleusercontent.com/-XHuqazkinVs/AAAAAAAAAAI/AAAAAAAAAAA/7Klom8GSuO0/s44-p-k-no-ns-nd/photo.jpg,ChIJc_anRd8UqE8RkThED3NLG8U,#898b8a,#232321
alabama-professional-air,,,Alabama Professional Air,http://alabamaprofessionalair.godaddysites.com/,https://lh6.googleusercontent.com/-wsbp-ilK4fw/AAAAAAAAAAI/AAAAAAAAAAA/yjzuJQiRnag/s44-p-k-no-ns-nd/photo.jpg,ChIJZ0xgbjeQJwARb1SHsjk203k,#dad7d7,#901b1f
allen-mechanical-hvac-llc,,,Allen Mechanical & HVAC LLC,,https://lh6.googleusercontent.com/-8cNthefkkdE/AAAAAAAAAAI/AAAAAAAAAAA/3UlYqkLNfGg/s44-p-k-no-ns-nd/photo.jpg,ChIJcTUW2XfHjIgR9_epaiiRNk0,#2d3a43,#c61f24
allens-heating-cooling,,,Allen's Heating & Cooling,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2FAllens-Heating-Cooling-LLC-123835957644839%2F,https://lh6.googleusercontent.com/-uaRFMbhWZfg/AAAAAAAAAAI/AAAAAAAAAAA/LdVCGayxZiE/s44-p-k-no-ns-nd/photo.jpg,ChIJE0lozxohjIgRy83AxhLpERY,#431408,#b09c44
arnold-brown-metals-supply,,,Arnold-Brown Metals & Supply,,,ChIJ-_ozgrEbiYgRSLXYVyj1r-s,,
associated-equipment-co,,,Associated Equipment Co,http://associatedequipmentinc.com/,,ChIJqyPZnPIbiYgRMwo5OBomQsQ,,
auburn-refrigeration,,,Auburn Refrigeration,http://auburnrefrigeration.com/,https://lh5.googleusercontent.com/-Y89bPhnBk6U/AAAAAAAAAAI/AAAAAAAAAAA/vQ3qIb4vnno/s44-p-k-no-ns-nd/photo.jpg,ChIJK0Ou6aX0uyYR9BQwioFugNk,#eceae8,#b97e72
autumn-air-home-services,,,Autumn Air Home Services,,https://lh5.googleusercontent.com/-Y4z_RME8H-w/AAAAAAAAAAI/AAAAAAAAAAA/es55TqFIOyc/s44-p-k-no-ns-nd/photo.jpg,ChIJF40YGPTriIgRcmneObcR2TE,#b0a687,#5f5133
autumn-air-home-services,,,Autumn Air Home Services,,https://lh6.googleusercontent.com/-iSRrBLepkBg/AAAAAAAAAAI/AAAAAAAAAAA/wQDSPqpqy4Y/s44-p-k-no-ns-nd/photo.jpg,ChIJ-3Mu5MQ7iogRjQeDur9yUVc,#585958,#e5e8e5
bk-comfort-services-llc,,,"B&K Comfort Services, LLC",http://www.bkcomfort.com/,https://lh5.googleusercontent.com/-Y8O6et8BTBA/AAAAAAAAAAI/AAAAAAAAAAA/bdmVINFHxVQ/s44-p-k-no-ns-nd/photo.jpg,ChIJ4-vUP2t4HSURJ5Ai_-wCQm4,#326a9f,#ca3f44
